Comment ID,Channel ID,Comment Create Timestamp,Price,Video ID,Comment Text
UgweaamqrVtiDNwX4Jh4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-19T00:27:51+00:00,0,_wibltmswYU,"{""text"":""LOL... \""It's very stimulating, your always grabbing balls.\"" XD""}"
Ugy-CYNm-6qWWgY65PV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-17T20:59:11+00:00,0,VwsQyxbfVtg,"{""text"":""Gay with a capital 'Eh!'""}"
UgxYzf6ij3ailXPZ0JR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-17T20:56:57+00:00,0,vQWzFEQEHHw,"{""text"":""what... the... fuck is this?""}"
UgxywWfU6KJRAh9fHuJ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-17T20:52:54+00:00,0,0Kca4wbgKdQ,"{""text"":""gay""}"
UgxIra_FtptuBl-JwpZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-14T05:44:02+00:00,0,O32Eppt_6ak,"{""text"":""WTF are vectors?""}"
UgxkPXtJFFp9F-5em6Z4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-14T05:40:04+00:00,0,NK5XRW84NdM,"{""text"":""First comment, rate and view.""}"
Ugwuq9ov4uZp2GEQMjZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-13T04:11:17+00:00,0,AnrGbeq3dkk,"{""text"":""I'm rating this 5 stars because its funny. I love Shane Dawson.""}"
UgxLZyjLuD00qb-jVXZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-13T03:43:50+00:00,0,pIlZP1lYDVI,"{""text"":""Is that Jason Alexander?""}"
Ugy53lKCpiyw0sN0EUF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-13T03:41:22+00:00,0,Voepb6bDdao,"{""text"":""Ummm.... IDK how this didn't get any comments yet.""}"
UgyOfYajq6gjdy89XOF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-13T03:27:04+00:00,0,qHxPjNgleCA,"{""text"":""I wanted these soooo bad when I was like 5. I think they still sell 'em at the Wal - Mart in my town.""}"
UgwS_Q6wDStGADirti54AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-13T03:25:29+00:00,0,q80Nb6AaBAw,"{""text"":""LMFAO!!! \""The important nourishment of whole grain rice in its brightest, gayest form.\""""}"
UgzLDUApITTbteVkGiR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-11T04:52:05+00:00,0,dV1afFFFg2U,"{""text"":""MY FUCKING GOD! This is CLASSIC game room. So no more Wii shit.""}"
UgwvKa7gtTQzS8-wlKB4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-10T03:49:56+00:00,0,hhiyJYj9J0A,"{""text"":""That cant be made by Nintendo. Iwata would have to be high up the ass.""}"
UgzlgQ_NlimagqrX1394AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-10T02:10:20+00:00,0,VYSfBAohfc0,"{""text"":""LMFAO! The ad in the video said \""Ugly Faces\""""}"
UgxX6QiHxg92chh6eBB4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-10T02:05:40+00:00,0,CJNORLhN22g,"{""text"":""@ 0:30  I pissed my fucking pants laughing!""}"
Ugz1w2saxmhhg03IuCp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-09T04:44:36+00:00,0,P_7XSap1RTQ,"{""text"":""HOLY SHIT... I JUST HAD A SEIZURE.""}"
UgxS0qPuESssibJrG2R4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-08T05:48:27+00:00,0,mpSc3T9228c,"{""text"":""WOW! Go have your period somewhere else. I never said this was bad. I was saying it's a shame because theres no controller ports. So Mario paint's SNES mouse wont go in it. Take a fucking pill.""}"
Ugw8SG12H2-BEaHcoEd4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-08T02:39:23+00:00,0,IGoG8xM6gTk,"{""text"":""you can't return it if you've opened it up... i mean you can try but they'll probably know""}"
Ugw2zHzWrcov5QsiQIF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-08T02:30:35+00:00,0,mpSc3T9228c,"{""text"":""To bad mario paint isnt compatibe with it.""}"
Ugyc37OU8EXmxcUyyPB4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-07T20:16:05+00:00,0,VWU6QPfYDew,"{""text"":""Sesame street was always on drugs.""}"
Ugz0zXrbntPF1sLoFuh4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-07T19:09:12+00:00,0,2p7PV0OuqaA,"{""text"":""\""Accordian Hero\"" sounds like it will be a little to nerdy, it might blow the whole \""Grunge\"" look they were going for when they made the first Guitar Hero.""}"
Ugz-CW8B6d-rvCiPY3V4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-06T02:08:06+00:00,0,t475kPIEXPg,"{""text"":""Lol at the end it says \""Eat at Joe's\"" why the fuck? IDK""}"
Ugxw2AFBr4QFXTkFZWJ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-06T01:42:57+00:00,0,hKe1gUgX5do,"{""text"":""BROCK BAKER! w00t!""}"
UgxlBL6qpbKWtIU0JD54AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-06T00:00:05+00:00,0,pvjgIxuVdo4,"{""text"":""LOL The whole sketch was a cover for invading Iran, genius.""}"
Ugzgvjcn8D4hKfUHOCt4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-04T05:37:35+00:00,0,xOBikMoItV8,"{""text"":""It sounds like \""Owie\"" poor dog. Of \""Mommy\""""}"
UgyXq1lgkltESO6kqhV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-02T16:19:02+00:00,0,0SOUgburcWA,"{""text"":""Guys, Rick Astley is not a joke. Tons of homosexual people liked his music in the 80's. LEAVE RICK ASTLEY ALONG! He's a human, maybe.""}"
Ugy9FNVeGNrEy9nZOpR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-02T16:11:10+00:00,0,CFlbKocn72s,"{""text"":""That was a rotten banana... Maybe?""}"
UgzVfWP5O9s2Yjxcvyh4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-02T07:57:49+00:00,0,SVSAcOxHI6s,"{""text"":""OMFG Chris Crocker is scary enough without fucking electrical sounds!!""}"
UgxSdBbf3AcFl4WYwBh4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-07-01T06:14:24+00:00,0,HVMV_fQtgmM,"{""text"":""At 1:01 he should have said \""Jon and Kate, I wonder who they'll date.\"" Sha!""}"
UgxndyPhtdqPPccDpit4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-06-29T01:59:23+00:00,0,B9WP8Zwu260,"{""text"":""I think watching this made me shit out a Commador 64... IDK WHY?""}"
Ugw7c0jyalQGCZrTsql4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-06-29T00:26:25+00:00,0,LoIAv70TaHA,"{""text"":""SHANE DAWSON ALL THE FUCKIN'  WAY BITCHES! That's how Shanaynay would say it.""}"
UgzEhYr3yi1h5cu1wod4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-06-28T23:34:27+00:00,0,vvQUjzLcgDE,"{""text"":""THIS IS SWEET THANK YOU!""}"
UgyATQEadDan-Bsl-PB4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-06-24T01:01:44+00:00,0,N26KWq7MmSc,"{""text"":""its like a contract... well, you know Terms of Use and stuff on internet. well its just something you sign to unsure that if you die or get worse they dont get in trouble""}"
UgyOdiHhN5OeEJe6RYN4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-06-14T20:30:12+00:00,0,3HaRJOm6hHU,"{""text"":""WTF? This made me sneeze pickles out my ear.""}"
UgwpANw4XEQ1DcunpDh4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-06-13T07:28:12+00:00,0,VWFJtQSVLrU,"{""text"":""because hes a ninja...""}"
UgzmEBV3JArmXTjCaB54AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-06-08T23:54:24+00:00,0,iMxS68usniE,"{""text"":""then you fail.""}"
