Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text,Top-Level Comment ID
UgziTE86EOp_KI8as0B4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-07T22:27:16.930972+00:00,0,,,rerj92ZPuV4,"{""text"":""Damn Ron Jeremy, what happened?""}",
UgwQv2uzC_fgWO_gKjV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-06T14:45:48.035+00:00,0,,,gWISx4_uMk4,"{""text"":""BERT BERT BERT BERT BERT""},{""text"":""\n""},{""text"":""The sound my titties make when I slap them together.""}",
Ugz-1WmTUHXUkpWNWI14AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-03T17:17:20.828476+00:00,0,,,Dx_0vYzYUoY,"{""text"":""Junior Bacon McGangbang from McDonalds. Junior chicken patty between a McDouble.""}",
UgxpTTJPtbg0NAVA3wN4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-07-01T17:27:55.431437+00:00,0,,,t3H-FUflmzE,"{""text"":""SS UP AND AWAY CAUSE WE'RE GOING AWAY DOWN TO THE FUCKIN WATERLOO!""}",
UgwhZvpKqxtl4pC_qcJ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-30T16:31:59.221581+00:00,0,,,ecLCI0JhyW4,"{""text"":""Where are the Mommies at? Try it out.""}",
UgywOvcJmo4mMb-Wu_F4AaABAg.8i5NFqOcFV48i5OfaI-Ev2,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-29T21:13:11.985896+00:00,0,UgywOvcJmo4mMb-Wu_F4AaABAg,,6BYbxPgyNhY,"{""text"":""first""}",UgywOvcJmo4mMb-Wu_F4AaABAg
UgyMXghnjbx-ElAK9YN4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-29T21:06:11.069022+00:00,0,,,y3uhVlzuVzw,"{""text"":""obunga... obunga... obun-""},{""text"":""\n""},{""text"":""now im ded""}",
UgwRf4cwr0NHVYQsCH94AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-29T17:29:56.424751+00:00,0,,,wMfOQX9VbLs,"{""text"":""I DON'T WANNA KNOW WHAT CELL IS ABOUT""},{""text"":""\n""},{""text"":""I NEED AN ADULT""}",
UgyYV2bGGgXwUoB0cD54AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-29T17:07:05.893778+00:00,0,,,qd97XZyf42I,"{""text"":""Jesus Christ, it's a shortydoeslife video.""},{""text"":""\n""},{""text"":""How horrifying.""}",
UgzCfzJdH3Ug-ve__a94AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-29T00:07:19.979479+00:00,0,,, -Yp6ZdCIE3k,"{""text"":""Jesus""}",
Ugz3QZq2AD8WZZSjbmF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-28T22:48:29.846027+00:00,0,,,HM8WDZIhs3M,"{""text"":""Cocaine is a shit tier drug.""}",
UgwHhRgR2OzhUd5rGvp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-28T20:42:25.486987+00:00,0,,,cg_n6yChXhU,"{""text"":""master clickbait""}",
Ugz4vtikqlTKfJbJU5B4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-26T04:55:58.899391+00:00,0,,,ZGYzEqaOrG8,"{""text"":""Linus looks like he's firing a Kamehameha in that thumbnail.""}",
UgzpXYsG_CnBzPM7SC14AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-26T04:48:16.212072+00:00,0,,,YlaWGd1cUms,"{""text"":""Is that loawhy86?""}",
Ugw63Epzo41QHaL9yMZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-25T03:04:02.845314+00:00,0,,,_v4gBOfe0BM,"{""text"":""what is that thumbnail? good work.""}",
Ugz8ZhV8Zw7qCSjV7KJ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-24T23:08:06.269008+00:00,0,,,2h9SqqgVkaw,"{""text"":""HOLD YOUR BREATH.""}",
UgiLJHMeghXJKngCoAEC.86KoPJr-YmT8hqyqwzC-z-,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-23T21:30:12.731673+00:00,0,UgiLJHMeghXJKngCoAEC,,M-KVehjCUz4,"{""text"":""The dude who typed this up took too many shrooms. His head swelled up the size of a weather balloon.""}",UgiLJHMeghXJKngCoAEC
UgxlGNeYNv3u_dcg_qB4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-23T20:16:39.20911+00:00,0,,,xDsoWp743gM,"{""text"":""Great googley moogley this MMA guy is really smart.""}",
Ugw0q7jbIrprvurxtMR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-23T17:43:01.891424+00:00,0,,,kp4Ha65Bttk,"{""text"":""S L I Z A R D""}",
UgzRKxLmZUM9io9RflF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-23T00:15:54.569285+00:00,0,,,WwLgPDnPDMo,"{""text"":""HOLY SHIT Back from the dead. YouTube knows it fucked up. REJOICE""}",
